notebook,pdf_page,ms_locator,topic,grade,published_pages,relation
"MS38_005","106","leaf not visibly numbered","食人、人祭、水神与安抚机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","107","leaf not visibly numbered","食人、人祭、水神与安抚机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","108","leaf not visibly numbered","食人、人祭、水神与安抚机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","109","leaf not visibly numbered","食人、人祭、水神与安抚机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","110","leaf not visibly numbered","食人、人祭、水神与安抚机制","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","111","leaf not visibly numbered","食人、人祭、水神与安抚机制","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","112","leaf not visibly numbered","成年礼、净化、鞭打与禁忌","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","113","leaf not visibly numbered","成年礼、净化、鞭打与禁忌","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","114","leaf not visibly numbered","成年礼、净化、鞭打与禁忌","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","115","leaf not visibly numbered","成年礼、净化、鞭打与禁忌","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","116","leaf not visibly numbered","成年礼、净化、鞭打与禁忌","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
"MS38_005","117","leaf not visibly numbered","人祭/食人综合排序与身体部位效力","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","118","leaf not visibly numbered","人祭/食人综合排序与身体部位效力","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","119","leaf not visibly numbered","人祭/食人综合排序与身体部位效力","A","方法层类比（不定位）","可见区分来源、机制、方向、分类或证据强度的相似分析动作；仅属结构类比，不能推出对1898刊文的文本传递。"
"MS38_005","120","leaf not visibly numbered","封底课程备忘","N","—","主题与1898年upādāna/upādisesa论文无直接对应；不进入其文本生成链。"
