academic_year,event_date_as_printed,event_date_normalized,speaker_as_printed,affiliation_or_location_as_printed,default_membership_by_source_footnote,title_as_printed,record_status,minutes_status,thematic_tags,source_line,editorial_flags,source_url,source_pages
1940–41,"November 14, 1940",1940-11-14,F. Engel-Jariosi,,Johns Hopkins University (appendix footnote; appointment/rank not established),Lord Acton’s Ideas on History,documented,not_individually_verified,,500,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1940–41,"December 12, 1940",1940-12-12,Arthur O. Lovejoy,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Meaning of Romanticism for the Historian of Ideas,documented,not_individually_verified,lovejoy;classics,504,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1940–41,"January 9, 1941",1941-01-09,Richard Shryock,University of Pennsylvania,,The Place of Method in the History of Social Thought,documented,not_individually_verified,method_and_warrant;politics,508,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1940–41,"February 13, 1941",1941-02-13,Gerhardt H. Dieke,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Development of New Ideas in Modern Physics,documented,not_individually_verified,science_cosmology,512,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1940–41,"March 13, 1941",1941-03-13,John Shapley,,Johns Hopkins University (appendix footnote; appointment/rank not established),Virgil’s Visible Immortality,documented,not_individually_verified,,516,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1940–41,"April 10, 1941",1941-04-10,Leo Spitzer,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Concept of Milieu and its History,documented,not_individually_verified,,520,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1941–42,"November 13, 1941",1941-11-13,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),A Basic Conflict in Aristotle’s Philosophy,documented,not_individually_verified,classics,525,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1941–42,"December 11, 1941",1941-12-11,Walter A. Patrick,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Philosophy of Physical Science,documented,not_individually_verified,,529,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1941–42,"January 8, 1942",1942-01-08,Gilbert Chinard,Princeton University,,"Morelly Diderot, Rousseau and Le Code de la Nature",documented,not_individually_verified,,533,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1941–42,"February 12, 1942",1942-02-12,Dorothy Stimson,Goucher College,,Some Reflections on Sprat’s History of the Royal Society,documented,not_individually_verified,women_scholars;goucher,537,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1941–42,"March 12, 1942",1942-03-12,Samuel E. Morison,Harvard University,,The Stoic Background of General Washington,documented,not_individually_verified,,541,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1941–42,"April 9, 1942",1942-04-09,Panos Morphopulos,,Johns Hopkins University (appendix footnote; appointment/rank not established),Guy de Brués and Sixteenth Century Scepticism in France,documented,not_individually_verified,,544,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1942–43,"November 12, 1942",1942-11-12,Francis R. Johnson,Stanford University,,Science and the Sixteenth Century Controversy over Improving the English Language,documented,not_individually_verified,,550,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1942–43,"December 10, 1942",1942-12-10,Adolf Meyer,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Concept of Ergasia,documented,not_individually_verified,,554,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1942–43,"January 14, 1943",1943-01-14,F. Engel-Janosi,Catholic University,,Some Basic Ideas of the Historians of the Enlightenment,documented,not_individually_verified,science_cosmology,558,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1942–43,"February 18, 1943",1943-02-18,Pedro Salinas,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Defeat of 1898 and its Influence on Spanish Thought,documented,not_individually_verified,,562,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1942–43,"March 11, 1943",1943-03-11,William F. Albright,,Johns Hopkins University (appendix footnote; appointment/rank not established),Historical Knowledge versus Scientific Knowledge,documented,not_individually_verified,orientalist_specialist;method_and_warrant,565,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1942–43,"April 8, 1943",1943-04-08,Charles R. Anderson,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Amateur Spirit in Ante-Bellum Charleston,documented,not_individually_verified,,569,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1943–44,"November 11, 1943",1943-11-11,Ludwig Edelstein,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Asclepius Cult and its Significance in Ancient Religion,documented,not_individually_verified,,575,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1943–44,"December 9, 1943",1943-12-09,Sidney Painter and Henry E. Sigerist,,Johns Hopkins University (appendix footnote; appointment/rank not established),“read papers on Problems Facing the University”,documented,not_individually_verified,,579,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1943–44,"January 13, 1944",1944-01-13,Americo Castro,Princeton University,,The Ideological Foundations of Latin-American Culture,documented,not_individually_verified,politics,583,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1943–44,"February 10, 1944",1944-02-10,Carl B. Swisher,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Commerce Clause of the Constitution: The History of its Interpretation,documented,not_individually_verified,,586,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1943–44,"March 9, 1944",1944-03-09,Scott Buchanan,St. John’s College,,The Crisis of Liberal Education,documented,not_individually_verified,,590,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1943–44,"April 13, 1944",1944-04-13,Dorothy Miner,Walters Art Gallery,,The Transmittal of Artistic Ideas in Medieval Workshops,documented,not_individually_verified,women_scholars;material_visual_workshop,594,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1944–45,"November 9, 1944",1944-11-09,George F. Carter,,Johns Hopkins University (appendix footnote; appointment/rank not established),Some Effects of the Idea of the Recency of Men in America,documented,not_individually_verified,indigenous_america,600,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1944–45,"December 14, 1944",1944-12-14,Rudolf Allers,Catholic University,,Psychology and Philosophy,documented,not_individually_verified,,604,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1944–45,"January 11, 1944",1944-01-11,Charles Singleton,,Johns Hopkins University (appendix footnote; appointment/rank not established),Dante’s Vita Nuova and the Book of the Universe,documented,not_individually_verified,,607,printed_date_inconsistent_with_academic_year,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1944–45,"February 8, 1945",1945-02-08,Sidney Painter,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Ideas of the Magna Carta,documented,not_individually_verified,,611,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1944–45,"March 8, 1945",1945-03-08,Hajo Holborn,Yale University,,The Effect of Conscription on Modern European History,documented,not_individually_verified,politics,615,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1944–45,"April 12, 1945",1945-04-12,Roy Pearce,,Johns Hopkins University (appendix footnote; appointment/rank not established),"The Indian as Noble Savage: the American Concept, 1775-1810",documented,not_individually_verified,primitivism;indigenous_america,619,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1945–46,"November 8, 1945",1945-11-08,Don C. Allen,,Johns Hopkins University (appendix footnote; appointment/rank not established),Some Seventeenth Century Notions of the Origination and Migration of Man,documented,not_individually_verified,,625,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1945–46,"December 13, 1945",1945-12-13,Grace Frank,Bryn Mawr College,,The Impenitence of François Villon,documented,not_individually_verified,women_scholars,628,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1945–46,"January 10, 1946",1946-01-10,Jean Gottman,,Johns Hopkins University (appendix footnote; appointment/rank not established),Geographical Doctrines in Politics,documented,not_individually_verified,politics,632,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1945–46,"February 14, 1946",1946-02-14,Richard E. Thursfield,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Transmission of European Educational Ideas to the United States in the Nineteenth Century,documented,not_individually_verified,,636,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1945–46,"March 14, 1946",1946-03-14,Wilson Shaffer,,Johns Hopkins University (appendix footnote; appointment/rank not established),The History of the Treatment of Mental Disease,documented,not_individually_verified,,640,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1945–46,"April 11, 1946",1946-04-11,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Noble Savage in Medieval Thought and Legend,documented,not_individually_verified,primitivism,644,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1946–47,"November 14, 1946",1946-11-14,Arthur O. Lovejoy,,Johns Hopkins University (appendix footnote; appointment/rank not established),“Pride” in Seventeenth and Eighteenth Century Thought,documented,not_individually_verified,lovejoy,649,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1946–47,"December 12, 1946",1946-12-12,Joseph Blickensderfer,Library of Congress,,Lord Monboddo—Philosopher as Philologist,documented,not_individually_verified,,653,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1946–47,"January 9, 1947",1947-01-09,Charles A. Barker,,Johns Hopkins University (appendix footnote; appointment/rank not established),Henry George’s Idea of Social Justice,documented,not_individually_verified,politics,657,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1946–47,"February 13, 1947",1947-02-13,Dorothy Stimson,Goucher College,,"The Critical Years of the Royal Society, 1670–1703",documented,not_individually_verified,women_scholars;goucher,661,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1946–47,"March 13, 1947",1947-03-13,Donald H. Andrews,,Johns Hopkins University (appendix footnote; appointment/rank not established),Concepts of Freedom in Science and Philosophy,documented,not_individually_verified,politics,665,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1946–47,"April 19, 1947",1947-04-19,Bentley Glass,Goucher College,,Maupertuis and the Beginnings of Genetics,documented,not_individually_verified,goucher,668,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1947–48,"November 13, 1947",1947-11-13,Arthur O. Lovejoy and Don C. Allen,,Johns Hopkins University (appendix footnote; appointment/rank not established),"two papers on China in the Eyes of Europe, 1580–1780",documented,not_individually_verified,asian_material;lovejoy,674,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1947–48,"December 11, 1947",1947-12-11,René Wellek,Yale University,,Six Types of Literary History,documented,not_individually_verified,,678,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1947–48,"January 8, 1948",1948-01-08,Owsei Temkin,,Johns Hopkins University (appendix footnote; appointment/rank not established),Medicine and the Problem of Moral Responsibility,documented,not_individually_verified,,682,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1947–48,"February 12, 1948",1948-02-12,Helen Dodson,University of Michigan,,Changing Conceptions of the Sun,documented,not_individually_verified,women_scholars;science_cosmology,686,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1947–48,"March 11, 1948",1948-03-11,William L. Straus,,Johns Hopkins University (appendix footnote; appointment/rank not established),Theories of Human Origin,documented,not_individually_verified,,689,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1947–48,"April 8, 1948",1948-04-08,Erich Auerbach,Pennsylvania State College,,An Historical Explanation of Nineteenth Century Realism,documented,not_individually_verified,,693,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1948–49,"November 11, 1948",1948-11-11,Harold Cherniss,"Institute for Advanced Study, Princeton University",,The History of Ideas and Ancient Greek Philosophy,documented,not_individually_verified,method_and_warrant;classics,699,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1948–49,"December 10, 1948",1948-12-10,Basil Willey,Cambridge University,,George Eliot,documented,not_individually_verified,,703,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1948–49,"January 13, 1949",1949-01-13,Elizabeth Nitchie,Goucher College,,Longinus and English Literary Criticism,documented,not_individually_verified,women_scholars;goucher;method_and_warrant,707,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1948–49,"February 10, 1949",1949-02-10,Leslie Peck,,Johns Hopkins University (appendix footnote; appointment/rank not established),Number and Infinity,documented,not_individually_verified,science_cosmology,710,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1948–49,"March 10, 1949",1949-03-10,Victor Lowe,,Johns Hopkins University (appendix footnote; appointment/rank not established),Source-Hunting in Philosophy and its Application to the Philosophy of Whitehead,documented,not_individually_verified,method_and_warrant,714,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1948–49,"April 14, 1949",1949-04-14,Fritz Machlup,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Idea of Private Property in Ideas,documented,not_individually_verified,,718,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1949–50,"November 9, 1949",1949-11-09,William F. Albright,,Johns Hopkins University (appendix footnote; appointment/rank not established),Biblical Criticism in the Light of the New Scrolls: A Test of the Literary-Historical Method,documented,not_individually_verified,orientalist_specialist;method_and_warrant,724,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1949–50,"December 7, 1949",1949-12-07,Thomas I. Cook,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Idea of Democracy,documented,not_individually_verified,politics,728,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1949–50,"January 12, 1950",1950-01-12,Conway Zirkle,University of Pennsylvania,,The History of the Idea of “Pangenesis”,documented,not_individually_verified,,731,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1949–50,"February 9, 1950",1950-02-09,Otto F. Kraushaar,Goucher College,,Evolution and Ethics,documented,not_individually_verified,goucher,735,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1949–50,"March 10, 1950",1950-03-10,Peter Viereck,Mount Holyoke College,,Prince Chaadayev and his Lettres Philosophiques: Russia’s Literary and Political Catalyst,documented,not_individually_verified,politics,739,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1949–50,"April 13, 1950",1950-04-13,George Boas,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Arts and the Encyclopédie,documented,not_individually_verified,,743,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1950–51,"November 9, 1950",1950-11-09,Owen Lattimore,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Origin and Recent Development of Revolutionary Ideas in China,documented,not_individually_verified,asian_material;politics,749,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1950–51,"December 14, 1950",1950-12-14,Raymond D. Havens,,Johns Hopkins University (appendix footnote; appointment/rank not established),"Simplicity, a Changing Concept",documented,not_individually_verified,,752,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1950–51,"January 11, 1951",1951-01-11,Richard H. Shryock,,Johns Hopkins University (appendix footnote; appointment/rank not established),Changing Concepts of the Nature of Disease,documented,not_individually_verified,,756,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1950–51,"February 15, 1951",1951-02-15,Elio Gianturco,"Washington, D. C.",,Vico and the Social Sciences,documented,not_individually_verified,politics,760,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1950–51,"March 8, 1951",1951-03-08,Carol K. Bang,,Johns Hopkins University (appendix footnote; appointment/rank not established),Polarity in Strindberg’s Conception of Women,documented,not_individually_verified,women_scholars,764,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1950–51,"April 12, 1951",1951-04-12,Graham Hough,University of Cambridge,,The Influence of Coleridge’s Ideas on the Victorian Age,documented,not_individually_verified,,768,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1951–52,"November 8, 1951",1951-11-08,Ludwig Edelstein,,Johns Hopkins University (appendix footnote; appointment/rank not established),Plato’s Political Theory,documented,not_individually_verified,politics;classics,774,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1951–52,"December 6, 1951",1951-12-06,Earl R. Wasserman,,Johns Hopkins University (appendix footnote; appointment/rank not established),The Divine Analogy in the Eighteenth Century,documented,not_individually_verified,,777,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1951–52,"January 10, 1952",1952-01-10,Alexandre Koyré,"École des Hautes Études, Paris",,Metaphysical Factors in the Evolution of Science,documented,not_individually_verified,,781,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1951–52,"February 14, 1952",1952-02-14,Eric Vogelin,Louisiana State University,,The Discovery of the Soul—in Ancient and Modern Philosophy,documented,not_individually_verified,,785,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1951–52,"March 13, 1952",1952-03-13,Robert T. Clark,University of Texas,,Wieland and the Combinatory System,documented,not_individually_verified,,789,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
1951–52,"May 1, 1952",1952-05-01,T. S. Ashton,London School of Economics,,The Treatment of Capitalism by Historians,documented,not_individually_verified,politics,793,,https://muse.jhu.edu/pub/1/oa_edited_volume/chapter/2450983,200-217
